dataset_fraction,workload_name,workload_size,policy_mode,workers,state_loading_ms_mean,state_loading_ms_median,state_loading_ms_p95,state_loading_ms_std,policy_inference_ms_mean,policy_inference_ms_median,policy_inference_ms_p95,policy_inference_ms_std,gating_ms_mean,gating_ms_median,gating_ms_p95,gating_ms_std,generation_stub_ms_mean,generation_stub_ms_median,generation_stub_ms_p95,generation_stub_ms_std,logging_ms_mean,logging_ms_median,logging_ms_p95,logging_ms_std,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_p95,total_latency_ms_std,decision_points
0.5,fraction_0p5,5675,random,1,0.788259,0.7553,0.99648,0.103966,0.011503,0.010733,0.013843,0.005462,0.000237,0.0002,0.0003,0.000327,0.006142,0.004267,0.012167,0.005802,0.004603,0.004133,0.004977,0.006415,0.815248,0.781733,1.031693,0.107567,5675.0
0.5,fraction_0p5,5675,random,2,1.507541,1.4264,1.755037,2.13198,0.013752,0.012533,0.02681,0.004481,0.000283,0.000267,0.0003,0.000674,0.007054,0.004833,0.0147,0.006741,0.005052,0.004533,0.0055,0.003818,1.538945,1.457233,1.790857,2.132303,5675.0
0.5,fraction_0p5,5675,random,4,2.937352,2.827533,3.411473,3.034909,0.014449,0.013833,0.016433,0.008184,0.000282,0.0003,0.0003,0.000281,0.007339,0.005167,0.014267,0.00663,0.005298,0.004933,0.0055,0.004205,2.970158,2.860767,3.442623,3.035354,5675.0
0.5,fraction_0p5,5675,random,8,6.04349,5.797867,7.439307,4.243404,0.014477,0.014033,0.0171,0.00252,0.000285,0.0003,0.000367,5.2e-05,0.007446,0.0052,0.014833,0.006587,0.005398,0.005,0.0058,0.005834,6.076592,5.830267,7.476823,4.244129,5675.0
0.5,fraction_0p5,5675,risk_proxy,1,2.452515,1.195167,7.597383,4.286335,0.00611,0.0059,0.008633,0.002519,0.000238,0.0002,0.000333,0.000391,0.003353,0.000867,0.012533,0.005094,0.005131,0.0046,0.0067,0.007465,2.472099,1.220033,7.623963,4.289042,5675.0
0.5,fraction_0p5,5675,risk_proxy,2,1.509706,1.434267,1.749193,2.059965,0.006373,0.0059,0.007567,0.003695,0.000255,0.000233,0.0003,0.000312,0.003714,0.001,0.01371,0.005693,0.00561,0.005033,0.006267,0.00422,1.53087,1.4548,1.77361,2.0602,5675.0
0.5,fraction_0p5,5675,risk_proxy,4,2.926475,2.8027,3.420513,3.011586,0.006698,0.006433,0.007667,0.001852,0.000275,0.0003,0.0003,0.000298,0.003987,0.001,0.015067,0.007474,0.005953,0.005467,0.006467,0.004734,2.949034,2.824233,3.444977,3.011894,5675.0
0.5,fraction_0p5,5675,risk_proxy,8,5.941145,5.7205,7.395277,4.00089,0.006658,0.0064,0.008033,0.001505,0.000277,0.0003,0.0003,0.000236,0.003906,0.001033,0.0147,0.005725,0.005882,0.005533,0.006467,0.004283,5.963376,5.743267,7.422713,4.001209,5675.0
0.75,fraction_0p75,8513,always,1,0.771414,0.749067,0.94332,0.101315,0.000959,0.0009,0.0011,0.000614,0.000218,0.0002,0.0003,0.000279,0.011377,0.010867,0.012967,0.002854,0.004477,0.0042,0.0049,0.005712,0.793084,0.770033,0.96884,0.103858,8513.0
0.75,fraction_0p75,8513,always,2,1.528983,1.459133,1.7246,2.233489,0.001299,0.0012,0.0014,0.002574,0.000252,0.0002,0.0003,0.000482,0.014105,0.013033,0.026113,0.004334,0.005327,0.004833,0.005933,0.002673,1.555841,1.4855,1.755167,2.233709,8513.0
0.75,fraction_0p75,8513,always,4,2.930668,2.8288,3.424067,3.072558,0.001326,0.0013,0.00148,0.00083,0.000267,0.0003,0.0003,0.000408,0.014514,0.014,0.016667,0.002915,0.005427,0.0052,0.00588,0.001795,2.958258,2.856267,3.452287,3.072738,8513.0
0.75,fraction_0p75,8513,always,8,5.960174,5.732833,7.322913,4.376819,0.001328,0.0013,0.001567,0.000561,0.000264,0.0003,0.0003,0.000159,0.014333,0.014033,0.015567,0.002865,0.005391,0.0052,0.005867,0.001731,5.987492,5.7596,7.34986,4.377155,8513.0
0.75,fraction_0p75,8513,bc,1,0.76386,0.7307,0.964287,0.107348,0.001584,0.0015,0.001767,0.000962,0.000216,0.0002,0.0003,0.000279,0.011406,0.010733,0.013233,0.004024,0.004463,0.004233,0.005033,0.00182,0.78615,0.7521,0.992947,0.109928,8513.0
